bin,from,to,"<-","=",":=","<<-","->","->>"
0,0,0,0.027049109830566784,0.900447234884321,0.9929474499010923,0.9621140448955019,0.9972907886815171,0.9999569966457383
1,1,19,0.6009288724520513,0.0822654167025028,0.0067085232648146555,0.03655285112238755,0.0026662079642212093,0.00004300335426163241
2,20,39,0.1685301453513374,0.007912617184140363,0.00021501677130816204,0.0008170637309710157,0.00004300335426163241,0
3,40,59,0.07805108798486282,0.0037412918207620194,0.00004300335426163241,0.00021501677130816204,0,0
4,60,79,0.03943407585791692,0.0015051173991571343,0.00004300335426163241,0.00012901006278489722,0,0
5,80,99,0.022791777758665175,0.0012901006278489722,0,0.00008600670852326481,0,0
6,100,119,0.015051173991571343,0.0006020469596628537,0.00004300335426163241,0,0,0
7,120,139,0.011266878816547692,0.0004300335426163241,0,0,0,0
8,140,159,0.007955620538401995,0.00038703018835469167,0,0,0,0
9,160,179,0.005160402511395889,0.00025802012556979444,0,0,0,0
10,180,199,0.0043863421346865055,0.00021501677130816204,0,0,0,0
11,200,219,0.0032252515696224305,0.00004300335426163241,0,0,0,0
12,220,239,0.002752214672744474,0.00034402683409305926,0,0,0,0
13,240,259,0.001806140878988561,0.00004300335426163241,0,0,0,0
14,260,279,0.0015481207534187667,0.00012901006278489722,0,0.00004300335426163241,0,0
15,280,299,0.0013331039821106046,0.00004300335426163241,0,0,0,0
16,300,319,0.0013331039821106046,0.00004300335426163241,0,0,0,0
17,320,339,0.0007740603767093833,0.00008600670852326481,0,0,0,0
18,340,359,0.0007740603767093833,0,0,0.00004300335426163241,0,0
19,360,379,0.0005160402511395889,0,0,0,0,0
20,380,399,0.0007310570224477509,0,0,0,0,0
21,400,419,0.0004300335426163241,0.00004300335426163241,0,0,0,0
22,420,439,0.0005160402511395889,0.00004300335426163241,0,0,0,0
23,440,459,0.00025802012556979444,0,0,0,0,0
24,460,479,0.00017201341704652963,0,0,0,0,0
25,480,499,0.00025802012556979444,0,0,0,0,0
26,500,519,0.00034402683409305926,0,0,0,0,0
27,520,539,0.00030102347983142685,0,0,0,0,0
28,540,559,0.00004300335426163241,0,0,0,0,0
29,560,579,0.00012901006278489722,0,0,0,0,0
30,580,599,0,0,0,0,0,0
31,600,619,0.00012901006278489722,0,0,0,0,0
32,620,639,0.00012901006278489722,0.00004300335426163241,0,0,0,0
33,640,659,0.00004300335426163241,0,0,0,0,0
34,660,679,0.00008600670852326481,0,0,0,0,0
35,680,699,0.00012901006278489722,0,0,0,0,0
36,700,719,0.00012901006278489722,0,0,0,0,0
37,720,739,0.00012901006278489722,0,0,0,0,0
38,740,759,0.00017201341704652963,0,0,0,0,0
39,760,779,0.00004300335426163241,0,0,0,0,0
40,780,799,0.00012901006278489722,0,0,0,0,0
41,800,819,0.00004300335426163241,0,0,0,0,0
42,820,839,0.00008600670852326481,0,0,0,0,0
43,840,859,0.00004300335426163241,0,0,0,0,0
44,860,879,0.00004300335426163241,0,0,0,0,0
45,880,899,0,0,0,0,0,0
46,900,919,0,0,0,0,0,0
47,920,939,0.00004300335426163241,0,0,0,0,0
48,940,959,0,0.00004300335426163241,0,0,0,0
49,960,979,0,0,0,0,0,0
50,980,999,0,0,0,0,0,0
51,1000,1019,0.00004300335426163241,0,0,0,0,0
52,1020,1039,0,0,0,0,0,0
53,1040,1059,0.00004300335426163241,0,0,0,0,0
54,1060,1079,0.00004300335426163241,0,0,0,0,0
55,1080,1099,0,0,0,0,0,0
56,1100,1119,0,0,0,0,0,0
57,1120,1139,0.00004300335426163241,0.00004300335426163241,0,0,0,0
58,1140,1159,0,0,0,0,0,0
59,1160,1179,0,0,0,0,0,0
60,1180,1199,0,0,0,0,0,0
61,1200,1219,0,0,0,0,0,0
62,1220,1239,0,0,0,0,0,0
63,1240,1259,0,0,0,0,0,0
64,1260,1279,0,0,0,0,0,0
65,1280,1299,0,0,0,0,0,0
66,1300,1319,0,0,0,0,0,0
67,1320,1339,0.00008600670852326481,0,0,0,0,0
68,1340,1359,0,0,0,0,0,0
69,1360,1379,0,0,0,0,0,0
70,1380,1399,0,0,0,0,0,0
71,1400,1419,0,0,0,0,0,0
72,1420,1439,0,0,0,0,0,0
73,1440,1459,0,0,0,0,0,0
74,1460,1479,0,0,0,0,0,0
75,1480,1499,0,0,0,0,0,0
76,1500,1519,0,0,0,0,0,0
77,1520,1539,0,0,0,0,0,0
78,1540,1559,0,0,0,0,0,0
79,1560,1579,0.00004300335426163241,0,0,0,0,0
80,1580,1599,0,0,0,0,0,0
81,1600,1619,0,0,0,0,0,0
82,1620,1639,0,0,0,0,0,0
83,1640,1659,0,0,0,0,0,0
84,1660,1679,0,0,0,0,0,0
85,1680,1699,0,0,0,0,0,0
86,1700,1719,0,0,0,0,0,0
87,1720,1739,0.00004300335426163241,0,0,0,0,0
88,1740,1759,0,0,0,0,0,0
89,1760,1779,0.00004300335426163241,0,0,0,0,0
90,1780,1799,0,0,0,0,0,0
91,1800,1819,0.00004300335426163241,0,0,0,0,0
92,1820,1839,0,0,0,0,0,0
93,1840,1859,0,0,0,0,0,0
94,1860,1879,0,0,0,0,0,0
95,1880,1899,0,0,0,0,0,0
96,1900,1919,0,0,0,0,0,0
97,1920,1939,0,0,0,0,0,0
98,1940,1959,0,0,0,0,0,0
99,1960,1979,0,0,0,0,0,0
100,1980,1999,0,0,0,0,0,0
101,2000,2019,0.00004300335426163241,0,0,0,0,0
102,2020,2039,0,0,0,0,0,0
103,2040,2059,0,0,0,0,0,0
104,2060,2079,0.00004300335426163241,0,0,0,0,0
105,2080,2099,0,0,0,0,0,0
106,2100,2119,0,0,0,0,0,0
107,2120,2139,0,0,0,0,0,0
108,2140,2159,0.00004300335426163241,0,0,0,0,0
109,2160,2179,0.00004300335426163241,0,0,0,0,0
110,2180,2199,0,0,0,0,0,0
111,2200,2219,0,0,0,0,0,0
112,2220,2239,0,0,0,0,0,0
113,2240,2259,0,0,0,0,0,0
114,2260,2279,0,0,0,0,0,0
115,2280,2299,0,0,0,0,0,0
116,2300,2319,0,0,0,0,0,0
117,2320,2339,0,0,0,0,0,0
118,2340,2359,0,0,0,0,0,0
119,2360,2379,0,0,0,0,0,0
120,2380,2399,0,0,0,0,0,0
121,2400,2419,0,0,0,0,0,0
122,2420,2439,0,0,0,0,0,0
123,2440,2459,0,0,0,0,0,0
124,2460,2479,0,0,0,0,0,0
125,2480,2499,0,0,0,0,0,0
126,2500,2519,0,0,0,0,0,0
127,2520,2539,0,0,0,0,0,0
128,2540,2559,0,0,0,0,0,0
129,2560,2579,0,0,0,0,0,0
130,2580,2599,0.00004300335426163241,0,0,0,0,0
131,2600,2619,0,0,0,0,0,0
132,2620,2639,0,0,0,0,0,0
133,2640,2659,0,0,0,0,0,0
134,2660,2679,0,0,0,0,0,0
135,2680,2699,0,0,0,0,0,0
136,2700,2719,0,0,0,0,0,0
137,2720,2739,0,0,0,0,0,0
138,2740,2759,0,0,0,0,0,0
139,2760,2779,0,0,0,0,0,0
140,2780,2799,0,0,0,0,0,0
141,2800,2819,0,0,0,0,0,0
142,2820,2839,0,0,0,0,0,0
143,2840,2859,0,0,0,0,0,0
144,2860,2879,0,0,0,0,0,0
145,2880,2899,0,0,0,0,0,0
146,2900,2919,0,0,0,0,0,0
147,2920,2939,0,0,0,0,0,0
148,2940,2959,0,0,0,0,0,0
149,2960,2979,0,0,0,0,0,0
150,2980,2999,0.00004300335426163241,0,0,0,0,0
151,3000,3019,0,0,0,0,0,0
152,3020,3039,0,0,0,0,0,0
153,3040,3059,0,0,0,0,0,0
154,3060,3079,0,0,0,0,0,0
155,3080,3099,0,0,0,0,0,0
156,3100,3119,0,0,0,0,0,0
157,3120,3139,0,0,0,0,0,0
158,3140,3159,0,0,0,0,0,0
159,3160,3179,0,0,0,0,0,0
160,3180,3199,0,0,0,0,0,0
161,3200,3219,0,0,0,0,0,0
162,3220,3239,0,0,0,0,0,0
163,3240,3259,0,0,0,0,0,0
164,3260,3279,0,0,0,0,0,0
165,3280,3299,0,0,0,0,0,0
166,3300,3319,0,0,0,0,0,0
167,3320,3339,0,0,0,0,0,0
168,3340,3359,0,0,0,0,0,0
169,3360,3379,0,0,0,0,0,0
170,3380,3399,0,0,0,0,0,0
171,3400,3419,0,0,0,0,0,0
172,3420,3439,0,0,0,0,0,0
173,3440,3459,0,0,0,0,0,0
174,3460,3479,0,0,0,0,0,0
175,3480,3499,0,0,0,0,0,0
176,3500,3519,0,0,0,0,0,0
177,3520,3539,0,0,0,0,0,0
178,3540,3559,0,0,0,0,0,0
179,3560,3579,0,0,0,0,0,0
180,3580,3599,0,0,0,0,0,0
181,3600,3619,0,0,0,0,0,0
182,3620,3639,0,0,0,0,0,0
183,3640,3659,0,0,0,0,0,0
184,3660,3679,0,0,0,0,0,0
185,3680,3699,0,0,0,0,0,0
186,3700,3719,0,0,0,0,0,0
187,3720,3739,0,0,0,0,0,0
188,3740,3759,0,0,0,0,0,0
189,3760,3779,0,0,0,0,0,0
190,3780,3799,0,0,0,0,0,0
191,3800,3819,0,0,0,0,0,0
192,3820,3839,0,0,0,0,0,0
193,3840,3859,0,0,0,0,0,0
194,3860,3879,0,0,0,0,0,0
195,3880,3899,0,0,0,0,0,0
196,3900,3919,0.00004300335426163241,0,0,0,0,0
197,3920,3939,0,0,0,0,0,0
198,3940,3959,0,0,0,0,0,0
199,3960,3979,0,0,0,0,0,0
200,3980,3999,0,0,0,0,0,0
201,4000,4019,0,0,0,0,0,0
202,4020,4039,0,0,0,0,0,0
203,4040,4059,0,0,0,0,0,0
204,4060,4079,0,0,0,0,0,0
205,4080,4099,0,0,0,0,0,0
206,4100,4119,0,0,0,0,0,0
207,4120,4139,0,0,0,0,0,0
